"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1055.7115
"B004",1614.2945
"B005",30.0000
"B006",30.0000
"B007",703.4875
"B008",1020.3328
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",42.5066
"B013",30.0000
"B014",30.0000
"B015",709.4349
"B016",642.7217
"B017",30.0000
"B018",533.2889
"B019",30.0000
"B020",2000.0000
"B021",819.2755
"B022",30.0000
"B023",499.5414
"B024",545.1498
"B025",505.5908
"B026",288.8663
"B027",925.1059
"B028",682.7224
"B029",846.6337
"B030",30.0000
"B031",36.4580
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",711.3287
