"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1060.1456
"B004",1569.3708
"B005",30.0000
"B006",30.0000
"B007",713.4462
"B008",1034.5771
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",43.3707
"B013",30.0000
"B014",30.0000
"B015",710.2962
"B016",669.2794
"B017",30.0000
"B018",535.4720
"B019",30.0000
"B020",1963.4540
"B021",830.9339
"B022",30.0000
"B023",506.3179
"B024",580.4431
"B025",506.2174
"B026",300.0944
"B027",928.9856
"B028",664.2193
"B029",858.7141
"B030",30.0000
"B031",36.4977
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",753.1821
