"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1052.3593
"B004",1621.6767
"B005",30.0000
"B006",30.0000
"B007",715.1634
"B008",1007.5540
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",42.4239
"B013",30.0000
"B014",30.0000
"B015",678.6187
"B016",638.4394
"B017",30.0000
"B018",531.6469
"B019",30.0000
"B020",2000.0000
"B021",832.9589
"B022",30.0000
"B023",493.4832
"B024",540.8327
"B025",484.0331
"B026",287.0685
"B027",922.1729
"B028",685.7559
"B029",860.8135
"B030",30.0000
"B031",36.3625
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",705.4239
