"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1128.8631
"B004",1487.6898
"B005",30.0000
"B006",30.0000
"B007",727.3689
"B008",1102.2834
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",44.3391
"B013",30.0000
"B014",30.0000
"B015",763.8111
"B016",722.4726
"B017",30.0000
"B018",569.2193
"B019",30.0000
"B020",1860.8556
"B021",847.2576
"B022",30.0000
"B023",538.4078
"B024",619.9657
"B025",543.6538
"B026",322.5522
"B027",988.9697
"B028",630.5626
"B029",875.6210
"B030",30.0000
"B031",36.8640
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",797.1018
