"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1164.4785
"B004",1469.7158
"B005",30.0000
"B006",30.0000
"B007",805.4543
"B008",1136.0232
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",43.5991
"B013",30.0000
"B014",30.0000
"B015",767.2091
"B016",718.6028
"B017",30.0000
"B018",586.6495
"B019",30.0000
"B020",1838.3013
"B021",938.7789
"B022",30.0000
"B023",554.4230
"B024",589.0112
"B025",546.0426
"B026",320.9144
"B027",1019.9927
"B028",623.1804
"B029",970.2816
"B030",30.0000
"B031",37.1610
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",764.2656
