"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1982.8686
"B004",2000.0000
"B005",30.0000
"B006",30.0000
"B007",1633.6968
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",87.0060
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",988.2033
"B019",30.0000
"B020",2000.0000
"B021",1909.3959
"B022",30.0000
"B023",1706.6990
"B024",2000.0000
"B025",1786.4447
"B026",993.3786
"B027",1734.1434
"B028",1482.1250
"B029",1974.5568
"B030",30.0000
"B031",37.0778
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",982.7411
