"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1935.9389
"B004",1530.0233
"B005",30.0000
"B006",30.0000
"B007",1793.2601
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",82.7738
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",965.2334
"B019",30.0000
"B020",1913.9762
"B021",2000.0000
"B022",30.0000
"B023",1957.8227
"B024",2000.0000
"B025",1560.6763
"B026",1105.6211
"B027",1693.2428
"B028",648.0377
"B029",2000.0000
"B030",30.0000
"B031",39.0413
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",1009.9041
