"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1052.5758
"B004",1465.8032
"B005",30.0000
"B006",30.0000
"B007",755.3245
"B008",1185.4069
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",44.6970
"B013",30.0000
"B014",30.0000
"B015",772.6632
"B016",758.1895
"B017",30.0000
"B018",531.7442
"B019",30.0000
"B020",1833.3396
"B021",880.0443
"B022",30.0000
"B023",577.8071
"B024",635.1812
"B025",549.8643
"B026",337.6694
"B027",922.3865
"B028",621.5260
"B029",909.5127
"B030",30.0000
"B031",37.3646
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",813.4378
