"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1354.1748
"B004",1093.2760
"B005",30.0000
"B006",30.0000
"B007",899.1880
"B008",1302.3403
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",45.7100
"B013",30.0000
"B014",30.0000
"B015",871.6954
"B016",816.9693
"B017",30.0000
"B018",679.7654
"B019",30.0000
"B020",1365.4826
"B021",1048.6491
"B022",30.0000
"B023",633.2827
"B024",676.3990
"B025",619.2127
"B026",362.5003
"B027",1185.5509
"B028",468.0683
"B029",1083.9536
"B030",30.0000
"B031",38.0400
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",858.4289
