"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",2000.0000
"B004",2000.0000
"B005",30.0000
"B006",30.0000
"B007",1691.9655
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",84.0292
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",1044.4552
"B019",30.0000
"B020",2000.0000
"B021",1977.6566
"B022",30.0000
"B023",1826.7445
"B024",2000.0000
"B025",1599.7882
"B026",1027.7339
"B027",1834.2229
"B028",1261.6644
"B029",2000.0000
"B030",30.0000
"B031",38.0756
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",991.9752
