"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",815.4304
"B004",1641.9744
"B005",30.0000
"B006",30.0000
"B007",684.2843
"B008",1072.9790
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",43.2896
"B013",30.0000
"B014",30.0000
"B015",702.9906
"B016",707.9363
"B017",30.0000
"B018",415.3975
"B019",30.0000
"B020",2000.0000
"B021",796.7914
"B022",30.0000
"B023",524.5066
"B024",577.2275
"B025",501.0900
"B026",316.4155
"B027",715.4390
"B028",694.1421
"B029",823.3705
"B030",30.0000
"B031",36.6915
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",743.1365
