"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",2000.0000
"B004",1505.3189
"B005",30.0000
"B006",30.0000
"B007",1821.2667
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",81.5799
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",1290.5988
"B019",30.0000
"B020",1883.0113
"B021",2000.0000
"B022",30.0000
"B023",1915.0177
"B024",2000.0000
"B025",1571.8519
"B026",1035.1356
"B027",2000.0000
"B028",637.8697
"B029",2000.0000
"B030",30.0000
"B031",38.9680
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",1002.6276
