"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",2000.0000
"B004",2000.0000
"B005",30.0000
"B006",30.0000
"B007",2000.0000
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",88.5506
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",1617.1962
"B019",30.0000
"B020",2000.0000
"B021",2000.0000
"B022",30.0000
"B023",1779.8720
"B024",2000.0000
"B025",1918.2835
"B026",1041.3958
"B027",2000.0000
"B028",1880.3047
"B029",2000.0000
"B030",30.0000
"B031",36.7260
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",921.0325
