"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1098.3705
"B004",1573.1783
"B005",30.0000
"B006",30.0000
"B007",746.1029
"B008",1055.2833
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",42.6290
"B013",30.0000
"B014",30.0000
"B015",710.1262
"B016",664.7750
"B017",30.0000
"B018",554.2271
"B019",30.0000
"B020",1968.2146
"B021",869.2445
"B022",30.0000
"B023",516.1279
"B024",549.1330
"B025",506.0813
"B026",298.1804
"B027",962.3523
"B028",665.7655
"B029",898.3230
"B030",30.0000
"B031",36.6984
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",718.1795
