"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",898.0767
"B004",1501.9716
"B005",30.0000
"B006",30.0000
"B007",696.2328
"B008",1175.6764
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",45.2474
"B013",30.0000
"B014",30.0000
"B015",718.8953
"B016",800.5894
"B017",30.0000
"B018",455.9653
"B019",30.0000
"B020",1878.7919
"B021",810.7651
"B022",30.0000
"B023",573.1940
"B024",656.8141
"B025",512.2363
"B026",355.5569
"B027",787.5569
"B028",636.4628
"B029",837.8574
"B030",30.0000
"B031",37.2367
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",833.6923
