"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",2000.0000
"B004",2000.0000
"B005",30.0000
"B006",30.0000
"B007",1666.2423
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",86.2829
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",1091.3799
"B019",30.0000
"B020",2000.0000
"B021",1947.5794
"B022",30.0000
"B023",1632.0844
"B024",2000.0000
"B025",1702.4186
"B026",967.1693
"B027",1917.6136
"B028",1520.9935
"B029",2000.0000
"B030",30.0000
"B031",36.8139
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",977.5004
