"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",2000.0000
"B004",1421.0943
"B005",30.0000
"B006",30.0000
"B007",1792.2807
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",81.9136
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",1185.5352
"B019",30.0000
"B020",1777.1756
"B021",2000.0000
"B022",30.0000
"B023",1883.0699
"B024",2000.0000
"B025",1543.0476
"B026",1037.5059
"B027",2000.0000
"B028",603.1169
"B029",2000.0000
"B030",30.0000
"B031",38.8321
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",1010.5107
