"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",2000.0000
"B004",1899.0117
"B005",30.0000
"B006",30.0000
"B007",1714.0099
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",79.8265
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",1185.8644
"B019",30.0000
"B020",2000.0000
"B021",2000.0000
"B022",30.0000
"B023",1813.1861
"B024",2000.0000
"B025",1512.2402
"B026",1002.2930
"B027",2000.0000
"B028",800.0465
"B029",2000.0000
"B030",30.0000
"B031",38.8257
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",1006.2427
