"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",2000.0000
"B004",2000.0000
"B005",30.0000
"B006",30.0000
"B007",1719.7607
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",80.7606
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",1286.6430
"B019",30.0000
"B020",2000.0000
"B021",2000.0000
"B022",30.0000
"B023",1863.0599
"B024",2000.0000
"B025",1606.7993
"B026",1006.4003
"B027",2000.0000
"B028",952.8432
"B029",2000.0000
"B030",30.0000
"B031",38.8008
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",994.8799
