"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",963.3038
"B004",1676.5031
"B005",30.0000
"B006",30.0000
"B007",678.4917
"B008",1010.2950
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",42.4476
"B013",30.0000
"B014",30.0000
"B015",680.2699
"B016",643.9151
"B017",30.0000
"B018",487.9584
"B019",30.0000
"B020",2000.0000
"B021",790.0258
"B022",30.0000
"B023",494.7749
"B024",542.4247
"B025",485.1922
"B026",289.3901
"B027",844.4922
"B028",708.3593
"B029",816.3699
"B030",30.0000
"B031",36.3210
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",700.2375
