"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1856.5348
"B004",2000.0000
"B005",30.0000
"B006",30.0000
"B007",1595.4396
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",86.5958
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",926.2510
"B019",30.0000
"B020",2000.0000
"B021",1864.6092
"B022",30.0000
"B023",1725.1571
"B024",2000.0000
"B025",1598.3071
"B026",994.0150
"B027",1623.9639
"B028",1241.3009
"B029",1928.2228
"B030",30.0000
"B031",37.4217
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",1011.2602
