"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",2000.0000
"B004",2000.0000
"B005",30.0000
"B006",30.0000
"B007",1626.4198
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",81.7046
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",1231.5626
"B019",30.0000
"B020",2000.0000
"B021",1900.8768
"B022",30.0000
"B023",1506.7513
"B024",2000.0000
"B025",1659.0197
"B026",899.6289
"B027",2000.0000
"B028",1071.4897
"B029",1965.7514
"B030",30.0000
"B031",37.1074
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",1015.0145
