"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1271.3118
"B004",1362.1850
"B005",30.0000
"B006",30.0000
"B007",840.4380
"B008",1185.3196
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",44.1270
"B013",30.0000
"B014",30.0000
"B015",789.1284
"B016",735.3981
"B017",30.0000
"B018",639.0884
"B019",30.0000
"B020",1703.2174
"B021",979.8034
"B022",30.0000
"B023",577.7788
"B024",610.7550
"B025",561.3899
"B026",328.0164
"B027",1113.2560
"B028",578.8502
"B029",1012.7399
"B030",30.0000
"B031",37.4356
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",788.8503
