"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1692.1243
"B004",2000.0000
"B005",30.0000
"B006",30.0000
"B007",1735.0136
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",90.7326
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",845.5516
"B019",30.0000
"B020",2000.0000
"B021",2000.0000
"B022",30.0000
"B023",1898.1403
"B024",2000.0000
"B025",1692.0424
"B026",1057.7063
"B027",1480.5425
"B028",1664.2135
"B029",2000.0000
"B030",30.0000
"B031",37.2605
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",964.7610
