"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1668.5936
"B004",2000.0000
"B005",30.0000
"B006",30.0000
"B007",1628.9064
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",86.7727
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",834.0119
"B019",30.0000
"B020",2000.0000
"B021",1903.8058
"B022",30.0000
"B023",1755.8596
"B024",2000.0000
"B025",1596.6509
"B026",1018.1209
"B027",1459.9673
"B028",1176.5635
"B029",1968.7764
"B030",30.0000
"B031",37.5573
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",1015.1090
