"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",1976.7113
"B004",2000.0000
"B005",30.0000
"B006",30.0000
"B007",1644.2077
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",87.5532
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",985.2586
"B019",30.0000
"B020",2000.0000
"B021",1921.7989
"B022",30.0000
"B023",1749.6830
"B024",2000.0000
"B025",1639.0038
"B026",1008.4042
"B027",1728.8676
"B028",1504.6354
"B029",1987.3521
"B030",30.0000
"B031",37.1781
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",981.5871
